Incident Type;Specific Hazards;Hazard Subcategory Paths;Origins;Date
food;unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);unauthorised food additive propylene oxide (ppo), unauthorised ingredient (fraud);united states;5-5-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;27-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;15-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;8-4-2009
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-4-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;24-3-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-3-2009
food;aflatoxin;mycotoxin > aflatoxin;iran;6-3-2009
food;aflatoxin;mycotoxin > aflatoxin;iran;5-3-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;13-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;11-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;10-2-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;30-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;22-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;20-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;16-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;14-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;5-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;2-1-2009
food;aflatoxin;mycotoxin > aflatoxin;united states;17-12-2008
food;aflatoxin;mycotoxin > aflatoxin;iran;16-12-2008
food;moulds, infested with insects;non-pathogenic microorganisms > moulds, insects > infested with insects;united states;1-12-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-12-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;24-11-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-11-2008
food;infested with insects;insects > infested with insects;united states;31-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;28-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;22-10-2008
food;aflatoxin;mycotoxin > aflatoxin;iran;20-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;2-10-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-9-2008
food;aflatoxin;mycotoxin > aflatoxin;india;30-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;11-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;8-9-2008
food;insects larvae;insects > insects larvae;united states;4-9-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-9-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;12-8-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;1-8-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;19-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-6-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;30-5-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;5-5-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;23-4-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;21-4-2008
food;dead insects;insects > dead insects;united states;10-4-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;17-3-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;14-3-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2008
food;aflatoxin;mycotoxin > aflatoxin;spain;21-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;19-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;19-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;11-2-2008
food;aflatoxin;mycotoxin > aflatoxin;spain, united states;11-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;8-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;7-2-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;5-2-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;25-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;23-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;18-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;17-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;16-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;4-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;3-1-2008
food;aflatoxin;mycotoxin > aflatoxin;australia;3-1-2008
food;aflatoxin;mycotoxin > aflatoxin;united states;3-1-2008
food;infested with insects, unsuitable organoleptic characteristics;insects > infested with insects, unsuitable organoleptic characteristics;united states;3-1-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;spain;1-1-2008
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-12-2007
food;aflatoxin;mycotoxin > aflatoxin;spain;22-11-2007
food;aflatoxin;mycotoxin > aflatoxin;united states;8-11-2007
food;infested with insects;insects > infested with insects;netherlands, united states;21-9-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;australia;1-9-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-7-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-6-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-5-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-3-2007
food;aflatoxin;mycotoxin > aflatoxin;germany, united states;1-2-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-1-2007
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-11-2006
border rejection;aflatoxin;mycotoxin > aflatoxin;united states;1-11-2006
border rejection;aflatoxin;mycotoxin > aflatoxin;china;1-6-2006
food;aflatoxin;mycotoxin > aflatoxin;spain;6-4-2006
food;aflatoxin;mycotoxin > aflatoxin;spain, united states;3-4-2006
food;aflatoxin;mycotoxin > aflatoxin;united states;9-2-2006
food;aflatoxin;mycotoxin > aflatoxin;greece;17-1-2006
food;altered organoleptic characteristics;altered organoleptic characteristics;greece, unknown origin;30-12-2005
food;altered organoleptic characteristics, excrements of insects;altered organoleptic characteristics, contaminated with faeces > excrements of insects;united states;31-1-2005
food;altered organoleptic characteristics, infested with insects;altered organoleptic characteristics, insects > infested with insects;united states;12-1-2005
food;aflatoxin;mycotoxin > aflatoxin;united states;28-10-2002
food;raticide;raticide;united states;8-12-1999
food;aflatoxin;mycotoxin > aflatoxin;united states;19-3-1999
