Incident Type;Hazards;Hazard Paths;Origins;Date
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;22-8-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;10-8-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;10-8-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;10-8-2018
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;26-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;25-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;25-7-2018
border rejection;methamidophos, pirimiphos-methyl;pesticides > organophosphate > methamidophos, pesticides > organophosphate > pirimiphos-methyl;guatemala;24-7-2018
border rejection;methamidophos, pirimiphos-methyl;pesticides > organophosphate > methamidophos, pesticides > organophosphate > pirimiphos-methyl;guatemala;24-7-2018
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;20-7-2018
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;20-7-2018
border rejection;paclobutrazol;pesticides > paclobutrazol;china;19-7-2018
border rejection;methiocarb;pesticides > carbamate > methiocarb;morocco;16-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;16-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;16-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;12-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;12-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;11-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;9-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;9-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;6-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;5-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;5-7-2018
border rejection;procymidone;pesticides > dicarboximide > procymidone;morocco;3-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;3-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;peru;3-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;3-7-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;3-7-2018
border rejection;dichlofluanid;pesticides > dichlofluanid;poland;3-7-2018
food;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;poland;28-6-2018
border rejection;methamidophos;pesticides > organophosphate > methamidophos;mexico;28-6-2018
food;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;12-6-2018
alert;poor temperature control;poor or insufficient controls > improper conditions > poor temperature control;united states;3-5-2018
alert;salmonella;pathogen > pathogenic bacteria > salmonella;canada;20-4-2018
alert;hepatitis a, foodborne outbreak;pathogen > virus > enteric viruses > enteroviruses > hepatitis a, foodborne outbreak;canada;14-4-2018
food;norovirus;pathogen > virus > enteric viruses > norovirus;egypt;30-3-2018
border rejection;pesticides;pesticides;guatemala;29-1-2018
border rejection;pesticides;pesticides;turkey;11-12-2017
border rejection;tebuconazole, penconazole, tebufenpyrad;pesticides > triazole > tebuconazole, pesticides > penconazole, pesticides > pyrazole > tebufenpyrad;turkey;1-12-2017
border rejection;penconazole, tebufenpyrad, tebuconazole;pesticides > penconazole, pesticides > pyrazole > tebufenpyrad, pesticides > triazole > tebuconazole;turkey;1-12-2017
food;methamidophos;pesticides > organophosphate > methamidophos;egypt;29-11-2017
border rejection;prochloraz, profenofos;pesticides > imidazole > prochloraz, pesticides > organophosphate > profenofos;guatemala;24-11-2017
alert;propamocarb;pesticides > propamocarb;czech republic;10-11-2017
border rejection;missing required nutrition information;labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;france;14-8-2017
border rejection;missing required nutrition information;labelling/misdescription > insufficient labelling/documentation > missing required nutrition information;france;14-8-2017
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;3-5-2017
food;norovirus;pathogen > virus > enteric viruses > norovirus;poland;26-4-2017
border rejection;pesticides;pesticides;mexico;18-4-2017
border rejection;methamidophos, monocrotophos, spirodiclofen;pesticides > organophosphate > methamidophos, pesticides > organophosphate > monocrotophos, pesticides > spirodiclofen;mexico;14-4-2017
border rejection;monocrotophos, spirodiclofen, methamidophos;pesticides > organophosphate > monocrotophos, pesticides > spirodiclofen, pesticides > organophosphate > methamidophos;mexico;14-4-2017
border rejection;monocrotophos, spirodiclofen, methamidophos;pesticides > organophosphate > monocrotophos, pesticides > spirodiclofen, pesticides > organophosphate > methamidophos;mexico;14-4-2017
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;mexico;29-3-2017
border rejection;dichlorvos;pesticides > organophosphate > dichlorvos;mexico;29-3-2017
border rejection;pesticides;pesticides;mexico;28-3-2017
border rejection;pesticides;pesticides;mexico;22-3-2017
border rejection;pesticides;pesticides;mexico;22-2-2017
border rejection;pesticides;pesticides;mexico;22-2-2017
- major food product recall;milk and products thereof, soybeans and products thereof;milk and products thereof, soybeans and products thereof;united states;16-2-2017
border rejection;pesticides;pesticides;mexico;3-2-2017
border rejection;pesticides;pesticides;mexico;2-2-2017
food;norovirus;pathogen > virus > enteric viruses > norovirus;poland;31-1-2017
food;norovirus;pathogen > virus > enteric viruses > norovirus;belgium, poland, serbia;30-1-2017
border rejection;pesticides;pesticides;mexico;27-1-2017
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;egypt;25-1-2017
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;egypt;24-1-2017
border rejection;pesticides;pesticides;mexico;30-12-2016
border rejection;pesticides;pesticides;mexico;14-12-2016
border rejection;chlorothalonil, profenofos;pesticides > chlorothalonil, pesticides > organophosphate > profenofos;mexico;9-12-2016
border rejection;chlorothalonil, profenofos;pesticides > chlorothalonil, pesticides > organophosphate > profenofos;mexico;9-12-2016
border rejection;pesticides;pesticides;mexico;7-12-2016
food;methomyl, oxamyl, dimethoate;pesticides > carbamate > methomyl, pesticides > carbamate > oxamyl, pesticides > organophosphate > dimethoate;egypt;30-11-2016
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;29-11-2016
border rejection;procymidone;pesticides > dicarboximide > procymidone;china;29-11-2016
border rejection;pesticides;pesticides;china;17-11-2016
border rejection;pesticides;pesticides;mexico;7-11-2016
border rejection;propamocarb;pesticides > propamocarb;mexico;31-10-2016
border rejection;propamocarb;pesticides > propamocarb;mexico;31-10-2016
border rejection;poor hygienic state;poor or insufficient controls > poor hygienic state;egypt;28-10-2016
border rejection;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;19-10-2016
border rejection;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;19-10-2016
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;27-9-2016
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;27-9-2016
alert;hepatitis a;pathogen > virus > enteric viruses > enteroviruses > hepatitis a;egypt;27-9-2016
